N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element,gflop_per_s_3flop_convention,x_payload_gb_per_s
16384,2048,5,1,25,34299635,42,21978482.1873,0.034299635,477672.72159,978273733.817,1.02220878005,2.93482120145,7.82618987053
16384,2048,5,1,26,34318462,42,21978482.1873,0.034318462,477410.671842,977737055.932,1.02276986837,2.9332111678,7.82189644746
16384,2048,5,1,27,34147213,42,21978482.1873,0.034147213,479804.896523,982640428.078,1.01766625047,2.94792128423,7.86112342463
16384,2048,5,1,28,34554236,42,21978482.1873,0.034554236,474153.154479,971065660.372,1.02979648113,2.91319698112,7.76852528298
16384,2048,5,1,29,34482208,42,21978482.1873,0.034482208,475143.587093,973094066.366,1.02764987946,2.9192821991,7.78475253093
16384,2048,5,1,30,34166686,42,21978482.1873,0.034166686,479531.435972,982080380.872,1.01824659109,2.94624114261,7.85664304697
16384,64,5,2,25,972923,42,660083.659795,0.000972923,16839976.031,1077758465.98,0.927851676941,3.23327539795,8.62206772787
16384,64,5,2,26,1013908,42,660083.659795,0.001013908,16159257.0529,1034192451.39,0.966938018799,3.10257735416,8.27353961109
16384,64,5,2,27,904891,42,660083.659795,0.000904891,18106048.1318,1158787080.43,0.862971305847,3.4763612413,9.27029664346
16384,64,5,2,28,899405,42,660083.659795,0.000899405,18216487.5668,1165855204.27,0.857739448547,3.49756561282,9.32684163419
16384,64,5,2,29,914260,42,660083.659795,0.00091426,17920504.0142,1146912256.91,0.871906280518,3.44073677072,9.17529805526
16384,64,5,2,30,1041031,42,660083.659795,0.001041031,15738244.1061,1007247622.79,0.992804527283,3.02174286837,8.05798098231
16384,128,5,3,25,1997121,42,1284671.27128,0.001997121,8203809.38361,1050087601.1,0.952301502228,3.15026280331,8.40070080881
16384,128,5,3,26,2197603,42,1284671.27128,0.002197603,7455395.71979,954290652.133,1.04789876938,2.8628719564,7.63432521707
16384,128,5,3,27,2009491,42,1284671.27128,0.002009491,8153308.47463,1043623484.75,0.958199977875,3.13087045426,8.34898787802
16384,128,5,3,28,2001836,42,1284671.27128,0.002001836,8184486.64126,1047614290.08,0.954549789429,3.14284287025,8.38091432065
16384,128,5,3,29,1951958,42,1284671.27128,0.001951958,8393623.22345,1074383772.6,0.930766105652,3.2231513178,8.59507018081
16384,128,5,3,30,1946133,42,1284671.27128,0.001946133,8418746.30357,1077599526.86,0.927988529205,3.23279858057,8.62079621485
16384,4096,5,4,25,82166663,42,44120056.6544,0.082166663,199399.603219,816740774.784,1.22437869012,2.45022232435,6.53392619827
16384,4096,5,4,26,77653173,42,44120056.6544,0.077653173,210989.446626,864212773.379,1.15712244809,2.59263832014,6.91370218703
16384,4096,5,4,27,75356781,42,44120056.6544,0.075356781,217419.053502,890548443.145,1.12290354073,2.67164532944,7.12438754516
16384,4096,5,4,28,68858373,42,44120056.6544,0.068858373,237937.657923,974592646.852,1.02606971562,2.92377794056,7.79674117482
